x,y,z
-237,186,R
-112,-295,A
298,-13,R
-189,276,A
45,-158,R
173,242,A
-281,-67,R
129,19,A
-56,300,R
214,-231,A
-299,-184,R
87,293,A
265,106,R
-178,-252,A
31,197,R
192,-89,A
-245,134,R
76,-276,A
283,51,R
-123,288,A
159,-167,R
-267,95,A
48,-221,R
226,179,A
-91,-300,R
300,23,A
-201,262,R
114,-145,A
187,207,R
-293,-78,A
62,281,R
241,-56,A
-156,229,R
95,-289,A
273,84,R
-212,-198,A
17,271,R
206,-112,A
-259,151,R
139,-234,A
292,39,R
-134,300,A
170,-178,R
-278,73,A
25,-265,R
234,162,A
-67,-297,R
287,6,A
-223,245,R
103,-123,A
198,218,R
-287,-45,A
81,294,R
256,-89,A
-145,212,R
59,-278,A
279,95,R
-201,-187,A
42,259,R
220,-134,A
-270,128,R
148,-256,A
300,62,R
-112,287,A
181,-201,R
-289,84,A
36,-243,R
245,173,A
-78,-300,R
276,28,A
-234,239,R
92,-156,A
209,229,R
-281,-56,A
70,300,R
267,-78,A
-167,195,R
125,-267,A
290,106,R
-190,-223,A
53,248,R
231,-112,A
-256,162,R
159,-289,A
300,73,R
-101,281,A
192,-190,R
-298,95,A
14,-254,R
253,184,A
-56,-300,R
265,39,A
-245,223,R
81,-178,A
220,240,R
-276,-34,A
98,293,R
278,-101,A
-134,206,R
170,-245,A
