x1,y1,x2,y2
-299,-184,-298,95
-299,-184,-293,-78
-299,-184,-212,-198
-299,-184,-201,-187
-299,-184,-190,-223
-299,-184,-178,-252
-299,-184,-112,-295
-298,95,-270,128
-298,95,-256,162
-298,95,-245,223
-293,-78,-281,-67
-281,-67,-281,-56
-281,-67,-276,-34
-281,-67,-201,-187
-276,-34,-167,195
-276,-34,-134,206
-276,-34,45,-158
-270,128,-267,95
-267,95,-245,134
-267,95,-167,195
-234,239,-189,276
-223,245,-189,276
-201,-187,45,-158
-201,262,-189,276
-190,-223,-67,-297
-190,-223,14,-254
-190,-223,45,-158
-189,276,-156,229
-156,229,-123,288
-156,229,-101,281
-134,206,-101,281
-134,206,129,19
-134,300,-56,300
-112,-295,-91,-300
-112,-295,-67,-297
-112,287,-56,300
-101,281,-56,300
-101,281,31,197
-56,-300,59,-278
-56,-300,95,-289
-56,-300,159,-289
25,-265,59,-278
31,197,129,19
36,-243,59,-278
36,-243,76,-276
45,-158,81,-178
45,-158,92,-156
45,-158,103,-123
45,-158,129,19
48,-221,76,-276
48,-221,81,-178
48,-221,139,-234
53,248,87,293
53,248,173,242
62,281,87,293
70,300,87,293
81,-178,159,-167
81,294,87,293
87,293,98,293
98,293,173,242
114,-145,159,-167
129,19,187,207
129,19,265,106
139,-234,159,-167
139,-234,170,-178
139,-234,181,-201
159,-167,192,-89
159,-167,206,-112
159,-167,220,-134
170,-245,181,-201
170,-178,220,-134
173,242,187,207
173,242,198,218
173,242,209,229
173,242,220,240
181,-201,214,-231
187,207,226,179
187,207,234,162
192,-190,214,-231
192,-190,220,-134
198,218,226,179
209,229,226,179
209,229,253,184
220,240,253,184
234,162,265,106
241,-56,298,-13
245,173,265,106
245,173,290,106
253,184,290,106
265,39,265,106
265,39,273,84
265,39,283,51
267,-78,298,-13
276,28,283,51
276,28,292,39
278,-101,298,-13
287,6,298,-13
292,39,300,23
298,-13,300,23
300,23,300,62
